date,product,region,quantity,sales
2024-01-05,스마트폰,서울,5,5970110
2024-01-05,이어폰,서울,1,61959
2024-01-05,태블릿,서울,3,1584825
2024-01-05,노트북,인천,5,7317375
2024-01-05,스마트폰,인천,3,2142543
2024-01-05,이어폰,인천,2,374568
2024-01-05,태블릿,인천,3,2145033
2024-01-06,노트북,광주,2,3175200
2024-01-06,스마트폰,광주,3,4316181
2024-01-06,이어폰,광주,1,249197
2024-01-06,태블릿,광주,2,1129244
2024-01-06,노트북,대구,3,7031181
2024-01-06,스마트폰,대구,3,2131164
2024-01-06,이어폰,대구,2,105128
2024-01-06,태블릿,대구,1,401152
2024-01-06,노트북,부산,2,2721092
2024-01-06,스마트폰,부산,2,2508526
2024-01-06,이어폰,부산,1,81928
2024-01-06,태블릿,부산,5,4011225
2024-01-06,노트북,서울,2,3695930
2024-01-06,스마트폰,서울,3,3758292
2024-01-06,이어폰,서울,1,99369
2024-01-06,태블릿,서울,5,3345140
2024-01-06,노트북,인천,2,1768764
2024-01-06,스마트폰,인천,1,1447886
2024-01-06,이어폰,인천,4,483584
2024-01-06,태블릿,인천,3,2881110
2024-01-07,노트북,광주,4,10153680
2024-01-07,스마트폰,광주,3,3010920
2024-01-07,이어폰,광주,5,991650
2024-01-07,태블릿,광주,2,772046
2024-01-07,노트북,대구,5,5922450
2024-01-07,스마트폰,대구,4,2063264
2024-01-07,이어폰,대구,3,612645
2024-01-07,태블릿,대구,2,1383866
2024-01-07,노트북,부산,1,1126861
2024-01-07,스마트폰,부산,3,2138187
2024-01-07,이어폰,부산,3,808164
2024-01-07,태블릿,부산,5,3785365
2024-01-07,노트북,서울,4,6107252
2024-01-07,스마트폰,서울,2,1399336
2024-01-07,이어폰,서울,5,1259925
2024-01-07,태블릿,서울,1,594266
2024-01-07,노트북,인천,5,7605475
2024-01-07,스마트폰,인천,3,2916804
2024-01-07,이어폰,인천,3,752157
2024-01-07,태블릿,인천,4,2011608
2024-01-08,노트북,광주,5,9081365
2024-01-08,스마트폰,광주,2,1575872
2024-01-08,이어폰,광주,3,592857
2024-01-08,태블릿,광주,2,1169826
2024-01-08,노트북,대구,4,3621260
2024-01-08,스마트폰,대구,5,3806515
2024-01-08,이어폰,대구,5,981775
2024-01-08,태블릿,대구,2,1574426
2024-01-08,노트북,부산,4,7347136
2024-01-08,스마트폰,부산,4,3023344
2024-01-08,이어폰,부산,2,244430
2024-01-08,태블릿,부산,1,745798
2024-01-08,노트북,서울,3,3813315
2024-01-08,스마트폰,서울,2,1309022
2024-01-08,이어폰,서울,4,989144
2024-01-08,태블릿,서울,4,1505460
2024-01-08,노트북,인천,5,11542130
2024-01-08,노트북,인천,5,8474700
2024-01-08,스마트폰,인천,5,4837870
2024-01-08,이어폰,인천,3,478872
2024-01-08,태블릿,인천,4,3087728
2024-01-09,노트북,광주,1,2147943
2024-01-09,스마트폰,광주,4,2569164
2024-01-09,이어폰,광주,3,422910
2024-01-09,태블릿,광주,3,2092557
2024-01-09,노트북,대구,4,6715004
2024-01-09,스마트폰,대구,5,6419130
2024-01-09,이어폰,대구,2,346192
2024-01-09,태블릿,대구,2,1623890
2024-01-09,노트북,부산,4,6467168
2024-01-09,스마트폰,부산,5,7460085
2024-01-09,이어폰,부산,4,132364
2024-01-09,태블릿,부산,5,3494290
2024-01-09,노트북,서울,2,2569980
2024-01-09,스마트폰,서울,4,4910636
2024-01-09,이어폰,서울,3,822834
2024-01-09,태블릿,서울,4,2909592
2024-01-09,노트북,인천,3,6608187
2024-01-09,스마트폰,인천,4,5037436
2024-01-09,이어폰,인천,1,236580
2024-01-09,태블릿,인천,2,1720138
2024-01-10,노트북,광주,1,2469809
2024-01-10,스마트폰,광주,5,6603260
2024-01-10,이어폰,광주,5,1044515
2024-01-10,태블릿,광주,3,1116918
2024-01-10,노트북,대구,3,7224903
2024-01-10,스마트폰,대구,3,2027817
2024-01-10,이어폰,대구,3,260022
2024-01-10,태블릿,대구,1,471720
2024-01-10,노트북,부산,1,2381741
2024-01-10,스마트폰,부산,1,1495740
2024-01-10,이어폰,부산,2,192352
2024-01-10,이어폰,부산,4,359892
2024-01-10,태블릿,부산,5,2298920
2024-01-10,노트북,서울,4,5534184
2024-01-10,스마트폰,서울,4,3058100
2024-01-10,이어폰,서울,3,442668
2024-01-10,태블릿,서울,5,1773075
2024-01-10,노트북,인천,5,11102500
2024-01-10,스마트폰,인천,4,3663688
2024-01-10,이어폰,인천,1,188116
2024-01-10,태블릿,인천,5,2773230
2024-01-11,노트북,광주,2,2884320
2024-01-11,스마트폰,광주,5,4434725
2024-01-11,이어폰,광주,3,643350
2024-01-11,태블릿,광주,4,3508496
2024-01-11,노트북,대구,3,3544035
2024-01-11,스마트폰,대구,4,2889692
2024-01-11,이어폰,대구,5,176610
2024-01-11,태블릿,대구,3,1769064
2024-01-11,노트북,부산,5,6814330
2024-01-11,스마트폰,부산,3,4179255
2024-01-11,이어폰,부산,2,547282
2024-01-11,이어폰,부산,5,1143495
2024-01-11,태블릿,부산,3,2318100
2024-01-11,노트북,서울,4,4085324
2024-01-11,노트북,서울,4,6238252
2024-01-11,스마트폰,서울,4,4966664
2024-01-11,이어폰,서울,5,1417455
2024-01-11,태블릿,서울,5,2916005
2024-01-11,노트북,인천,2,4620212
2024-01-11,스마트폰,인천,4,4049244
2024-01-11,이어폰,인천,4,156160
2024-01-11,태블릿,인천,4,3258652
2024-01-12,노트북,광주,3,2935911
2024-01-12,스마트폰,광주,2,1248410
2024-01-12,이어폰,광주,5,1147135
2024-01-12,태블릿,광주,5,2683250
2024-01-12,노트북,대구,5,5327315
2024-01-12,스마트폰,대구,3,1643178
2024-01-12,이어폰,대구,1,36430
2024-01-12,태블릿,대구,2,1629446
2024-01-12,노트북,부산,5,11971355
2024-01-12,스마트폰,부산,5,5628900
2024-01-12,이어폰,부산,2,438410
2024-01-12,태블릿,부산,2,1221272
2024-01-12,노트북,서울,3,3850419
2024-01-12,스마트폰,서울,1,1256321
2024-01-12,이어폰,서울,2,286894
2024-01-12,태블릿,서울,5,2470715
2024-01-12,노트북,인천,4,6058048
2024-01-12,스마트폰,인천,2,1107744
2024-01-12,이어폰,인천,4,1151264
2024-01-12,이어폰,인천,1,58106
2024-01-12,태블릿,인천,1,368517
2024-01-13,노트북,광주,4,5407312
2024-01-13,스마트폰,광주,5,5001665
2024-01-13,이어폰,광주,1,114257
2024-01-13,태블릿,광주,3,2184543
2024-01-13,노트북,대구,3,3165420
2024-01-13,스마트폰,대구,2,2651990
2024-01-13,이어폰,대구,3,789180
2024-01-13,태블릿,대구,3,2209938
2024-01-13,노트북,부산,4,7351816
2024-01-13,스마트폰,부산,4,3076316
2024-01-13,이어폰,부산,3,406665
2024-01-13,태블릿,부산,4,1578132
2024-01-13,노트북,서울,5,8460975
2024-01-13,스마트폰,서울,5,2932475
2024-01-13,이어폰,서울,1,110767
2024-01-13,태블릿,서울,2,1031808
2024-01-13,노트북,인천,1,1963746
2024-01-13,스마트폰,인천,4,5072460
2024-01-13,이어폰,인천,3,163155
2024-01-13,태블릿,인천,5,1769535
2024-01-14,노트북,광주,3,6250722
2024-01-14,스마트폰,광주,4,4261456
2024-01-14,이어폰,광주,4,926768
2024-01-14,태블릿,광주,2,1812540
2024-01-14,태블릿,광주,4,1379920
2024-01-14,노트북,대구,4,4382740
2024-01-14,노트북,대구,2,4022090
2024-01-14,스마트폰,대구,3,3273828
2024-01-14,이어폰,대구,2,452322
2024-01-14,태블릿,대구,4,2263432
2024-01-14,노트북,부산,3,5579865
2024-01-14,스마트폰,부산,4,2394696
2024-01-14,이어폰,부산,5,1175590
2024-01-14,태블릿,부산,2,1292526
2024-01-14,노트북,서울,4,9891004
2024-01-14,스마트폰,서울,4,2362660
2024-01-14,이어폰,서울,1,275470
2024-01-14,이어폰,서울,2,458416
2024-01-14,이어폰,서울,4,1114032
2024-01-14,태블릿,서울,4,3606012
2024-01-14,노트북,인천,2,1876596
2024-01-14,스마트폰,인천,4,3734308
2024-01-14,이어폰,인천,5,1547940
2024-01-14,태블릿,인천,3,1978254
2024-01-15,노트북,광주,4,7947348
2024-01-15,스마트폰,광주,2,1356480
2024-01-15,이어폰,광주,4,420136
2024-01-15,태블릿,광주,4,2210112
2024-01-15,노트북,대구,4,7738368
2024-01-15,스마트폰,대구,1,1147453
2024-01-15,이어폰,대구,1,257526
2024-01-15,태블릿,대구,3,1615608
2024-01-15,노트북,부산,2,1913852
2024-01-15,스마트폰,부산,4,5277952
2024-01-15,이어폰,부산,3,687702
2024-01-15,태블릿,부산,4,1536864
2024-01-15,노트북,서울,2,3677558
2024-01-15,스마트폰,서울,1,632378
2024-01-15,이어폰,서울,1,269561
2024-01-15,태블릿,서울,1,761694
2024-01-15,노트북,인천,1,1730461
2024-01-15,노트북,인천,2,4510850
2024-01-15,스마트폰,인천,3,4341924
2024-01-15,이어폰,인천,3,679572
2024-01-15,태블릿,인천,1,607618
2024-01-16,노트북,광주,3,4455537
2024-01-16,스마트폰,광주,4,2736684
2024-01-16,이어폰,광주,5,864410
2024-01-16,이어폰,광주,2,329452
2024-01-16,태블릿,광주,3,2569917
2024-01-16,노트북,대구,1,2071726
2024-01-16,스마트폰,대구,4,5493176
2024-01-16,이어폰,대구,2,259366
2024-01-16,태블릿,대구,2,1338870
2024-01-16,노트북,부산,4,7253440
2024-01-16,스마트폰,부산,1,748728
2024-01-16,이어폰,부산,1,237516
2024-01-16,태블릿,부산,3,1828713
2024-01-16,노트북,서울,4,5341832
2024-01-16,스마트폰,서울,1,1442573
2024-01-16,스마트폰,서울,4,5779944
2024-01-16,이어폰,서울,3,560526
2024-01-16,이어폰,서울,4,644492
2024-01-16,태블릿,서울,1,763187
2024-01-16,노트북,인천,2,4235062
2024-01-16,스마트폰,인천,1,1447287
2024-01-16,이어폰,인천,5,1106460
2024-01-16,태블릿,인천,4,1339940
2024-01-17,노트북,광주,4,8364464
2024-01-17,스마트폰,광주,4,5938672
2024-01-17,이어폰,광주,4,1052592
2024-01-17,태블릿,광주,3,1583469
2024-01-17,노트북,대구,5,9886780
2024-01-17,스마트폰,대구,3,4379145
2024-01-17,이어폰,대구,4,364684
2024-01-17,태블릿,대구,4,2467476
2024-01-17,노트북,부산,5,5295920
2024-01-17,스마트폰,부산,4,3545960
2024-01-17,이어폰,부산,3,260412
2024-01-17,태블릿,부산,5,3497670
2024-01-17,노트북,서울,3,7096944
2024-01-17,노트북,서울,3,7459791
2024-01-17,노트북,서울,1,1782162
2024-01-17,스마트폰,서울,1,647594
2024-01-17,이어폰,서울,3,232032
2024-01-17,태블릿,서울,4,3537536
2024-01-17,노트북,인천,3,5499324
2024-01-17,스마트폰,인천,1,601913
2024-01-17,스마트폰,인천,2,2860716
2024-01-17,이어폰,인천,4,444056
2024-01-17,태블릿,인천,3,2599296
2024-01-18,노트북,광주,5,10225035
2024-01-18,스마트폰,광주,1,973962
2024-01-18,이어폰,광주,3,810438
2024-01-18,태블릿,광주,1,846781
2024-01-18,노트북,대구,2,4907810
2024-01-18,스마트폰,대구,5,2514865
2024-01-18,이어폰,대구,3,364458
2024-01-18,이어폰,대구,1,43516
2024-01-18,이어폰,대구,2,75582
2024-01-18,태블릿,대구,2,1732912
2024-01-18,노트북,부산,1,906070
2024-01-18,스마트폰,부산,3,2266200
2024-01-18,이어폰,부산,5,716100
2024-01-18,태블릿,부산,2,743884
2024-01-18,태블릿,부산,5,2586100
2024-01-18,노트북,서울,1,2237975
2024-01-18,노트북,서울,3,5825481
2024-01-18,스마트폰,서울,3,1690473
2024-01-18,이어폰,서울,1,141204
2024-01-18,태블릿,서울,1,776805
2024-01-18,노트북,인천,5,7394985
2024-01-18,스마트폰,인천,1,682710
2024-01-18,이어폰,인천,1,63322
2024-01-18,태블릿,인천,4,3406560
2024-01-19,노트북,광주,3,6615357
2024-01-19,스마트폰,광주,1,930764
2024-01-19,이어폰,광주,3,581439
2024-01-19,태블릿,광주,4,1415780
2024-01-19,노트북,대구,4,6043164
2024-01-19,스마트폰,대구,4,3672392
2024-01-19,이어폰,대구,3,678723
2024-01-19,태블릿,대구,4,2510816
2024-01-19,노트북,부산,5,11467460
2024-01-19,스마트폰,부산,3,2698221
2024-01-19,스마트폰,부산,5,5281645
2024-01-19,이어폰,부산,1,142734
2024-01-19,태블릿,부산,4,1615984
2024-01-19,노트북,서울,4,6569008
2024-01-19,스마트폰,서울,4,4877700
2024-01-19,이어폰,서울,5,538845
2024-01-19,이어폰,서울,1,96160
2024-01-19,태블릿,서울,4,1508240
2024-01-19,태블릿,서울,1,637758
2024-01-19,노트북,인천,4,3763152
2024-01-19,스마트폰,인천,1,1372176
2024-01-19,이어폰,인천,5,307235
2024-01-19,태블릿,인천,3,1309305
2024-01-20,노트북,광주,2,4749036
2024-01-20,스마트폰,광주,3,1785741
2024-01-20,이어폰,광주,5,1036160
2024-01-20,태블릿,광주,4,3624560
2024-01-20,노트북,대구,3,7952118
2024-01-20,스마트폰,대구,5,3188415
2024-01-20,이어폰,대구,4,1185252
2024-01-20,태블릿,대구,1,382002
2024-01-20,노트북,부산,1,1167742
2024-01-20,스마트폰,부산,3,4403187
2024-01-20,이어폰,부산,2,460364
2024-01-20,태블릿,부산,5,3458785
2024-01-20,태블릿,부산,1,420746
2024-01-20,노트북,서울,2,2358082
2024-01-20,스마트폰,서울,2,2683096
2024-01-20,스마트폰,서울,5,4282010
2024-01-20,이어폰,서울,5,227865
2024-01-20,태블릿,서울,4,3894580
2024-01-20,노트북,인천,5,5202680
2024-01-20,스마트폰,인천,1,838236
2024-01-20,이어폰,인천,5,279260
2024-01-20,태블릿,인천,3,1025220
2024-01-21,노트북,광주,4,6680816
2024-01-21,스마트폰,광주,3,4087728
2024-01-21,이어폰,광주,5,262030
2024-01-21,태블릿,광주,1,838080
2024-01-21,노트북,대구,3,4881345
2024-01-21,스마트폰,대구,2,1443776
2024-01-21,이어폰,대구,4,1162020
2024-01-21,태블릿,대구,2,740266
2024-01-21,노트북,부산,3,3000276
2024-01-21,스마트폰,부산,1,766727
2024-01-21,이어폰,부산,2,143810
2024-01-21,태블릿,부산,3,1935021
2024-01-21,노트북,서울,1,1919728
2024-01-21,스마트폰,서울,3,3358836
2024-01-21,이어폰,서울,3,385626
2024-01-21,태블릿,서울,3,1275879
2024-01-21,노트북,인천,5,11228820
2024-01-21,스마트폰,인천,5,4528580
2024-01-21,이어폰,인천,3,542232
2024-01-21,태블릿,인천,1,804628
2024-01-22,노트북,광주,5,4979925
2024-01-22,스마트폰,광주,4,4132752
2024-01-22,이어폰,광주,3,854838
2024-01-22,태블릿,광주,2,1049194
2024-01-22,노트북,대구,3,2814681
2024-01-22,스마트폰,대구,3,1797288
2024-01-22,이어폰,대구,3,218190
2024-01-22,태블릿,대구,3,1373031
2024-01-22,노트북,부산,4,6886136
2024-01-22,스마트폰,부산,5,5240705
2024-01-22,이어폰,부산,4,829604
2024-01-22,태블릿,부산,3,2118705
2024-01-22,노트북,서울,3,6206367
2024-01-22,스마트폰,서울,4,4102884
2024-01-22,이어폰,서울,1,294528
2024-01-22,태블릿,서울,1,660120
2024-01-22,노트북,인천,3,4351809
2024-01-22,스마트폰,인천,4,2540860
2024-01-22,이어폰,인천,4,808864
2024-01-22,태블릿,인천,3,2658216
2024-01-23,노트북,광주,4,3969348
2024-01-23,스마트폰,광주,2,2712750
2024-01-23,이어폰,광주,1,237856
2024-01-23,태블릿,광주,1,735050
2024-01-23,노트북,대구,2,3142836
2024-01-23,노트북,대구,5,8619995
2024-01-23,스마트폰,대구,4,5227256
2024-01-23,이어폰,대구,2,269398
2024-01-23,태블릿,대구,5,3694985
2024-01-23,노트북,부산,2,3463104
2024-01-23,스마트폰,부산,5,3993840
2024-01-23,이어폰,부산,2,384500
2024-01-23,태블릿,부산,2,1719902
2024-01-23,노트북,서울,2,1923652
2024-01-23,노트북,서울,3,7358421
2024-01-23,스마트폰,서울,1,1032351
2024-01-23,스마트폰,서울,5,6878430
2024-01-23,스마트폰,서울,5,2697905
2024-01-23,스마트폰,서울,3,4256892
2024-01-23,스마트폰,서울,5,3187070
2024-01-23,이어폰,서울,4,211628
2024-01-23,태블릿,서울,2,947160
2024-01-23,노트북,인천,3,2728284
2024-01-23,스마트폰,인천,4,5666312
2024-01-23,이어폰,인천,3,221922
2024-01-23,이어폰,인천,2,346042
2024-01-23,태블릿,인천,5,2153670
2024-01-24,노트북,광주,5,7781200
2024-01-24,스마트폰,광주,1,1499716
2024-01-24,이어폰,광주,1,234710
2024-01-24,태블릿,광주,5,4405350
2024-01-24,노트북,대구,3,3166602
2024-01-24,스마트폰,대구,1,750021
2024-01-24,이어폰,대구,1,292054
2024-01-24,태블릿,대구,4,1463432
2024-01-24,노트북,부산,2,4782810
2024-01-24,스마트폰,부산,4,3881568
2024-01-24,스마트폰,부산,5,2527530
2024-01-24,이어폰,부산,5,1259535
2024-01-24,태블릿,부산,2,913564
2024-01-24,노트북,서울,1,1586248
2024-01-24,스마트폰,서울,2,1059112
2024-01-24,이어폰,서울,2,100162
2024-01-24,태블릿,서울,3,1359429
2024-01-24,노트북,인천,5,10029805
2024-01-24,스마트폰,인천,2,2506896
2024-01-24,이어폰,인천,2,496802
2024-01-24,태블릿,인천,5,3349770
2024-01-25,노트북,광주,2,3681226
2024-01-25,스마트폰,광주,4,3540764
2024-01-25,이어폰,광주,1,255762
2024-01-25,태블릿,광주,1,745120
2024-01-25,노트북,대구,2,1775766
2024-01-25,스마트폰,대구,3,4436130
2024-01-25,이어폰,대구,3,147597
2024-01-25,태블릿,대구,5,3981975
2024-01-25,노트북,부산,2,4867960
2024-01-25,스마트폰,부산,4,4916672
2024-01-25,이어폰,부산,4,197560
2024-01-25,태블릿,부산,2,732330
2024-01-25,노트북,서울,4,6331484
2024-01-25,스마트폰,서울,3,3850854
2024-01-25,이어폰,서울,2,106488
2024-01-25,태블릿,서울,3,1658514
2024-01-25,태블릿,서울,1,648671
2024-01-25,노트북,인천,3,7312629
2024-01-25,스마트폰,인천,1,1407855
2024-01-25,이어폰,인천,4,1042192
2024-01-25,태블릿,인천,3,2274528
2024-01-26,노트북,광주,4,5837256
2024-01-26,스마트폰,광주,3,2285208
2024-01-26,이어폰,광주,5,1164460
2024-01-26,태블릿,광주,2,1646570
2024-01-26,노트북,대구,2,1730612
2024-01-26,스마트폰,대구,2,2779788
2024-01-26,이어폰,대구,1,153729
2024-01-26,태블릿,대구,1,432361
2024-01-26,노트북,부산,3,6268311
2024-01-26,스마트폰,부산,4,3151568
2024-01-26,이어폰,부산,4,881916
2024-01-26,태블릿,부산,1,378686
2024-01-26,노트북,서울,5,7080360
2024-01-26,스마트폰,서울,3,1822743
2024-01-26,이어폰,서울,2,525470
2024-01-26,태블릿,서울,3,2302728
2024-01-26,태블릿,서울,5,3734075
2024-01-26,노트북,인천,4,7958392
2024-01-26,스마트폰,인천,1,1134487
2024-01-26,이어폰,인천,4,281240
2024-01-26,태블릿,인천,3,2070252
2024-01-27,노트북,광주,5,7515030
2024-01-27,스마트폰,광주,3,2213346
2024-01-27,스마트폰,광주,5,3815915
2024-01-27,이어폰,광주,5,540730
2024-01-27,태블릿,광주,5,2476570
2024-01-27,노트북,대구,4,7698272
2024-01-27,스마트폰,대구,4,5650932
2024-01-27,이어폰,대구,5,1020735
2024-01-27,태블릿,대구,1,787172
2024-01-27,노트북,부산,3,6587700
2024-01-27,노트북,부산,5,7634300
2024-01-27,노트북,부산,2,4844324
2024-01-27,스마트폰,부산,2,2675754
2024-01-27,이어폰,부산,1,226469
2024-01-27,이어폰,부산,3,883377
2024-01-27,이어폰,부산,5,510670
2024-01-27,태블릿,부산,2,1171638
2024-01-27,노트북,서울,3,6945117
2024-01-27,스마트폰,서울,5,4213480
2024-01-27,이어폰,서울,4,325872
2024-01-27,태블릿,서울,2,768746
2024-01-27,노트북,인천,5,6293025
2024-01-27,스마트폰,인천,2,1955766
2024-01-27,이어폰,인천,2,434266
2024-01-27,태블릿,인천,5,2292150
2024-01-28,노트북,광주,2,2596222
2024-01-28,스마트폰,광주,1,548683
2024-01-28,이어폰,광주,1,248275
2024-01-28,태블릿,광주,4,2471672
2024-01-28,노트북,대구,3,4759359
2024-01-28,스마트폰,대구,3,3226836
2024-01-28,이어폰,대구,1,56165
2024-01-28,태블릿,대구,3,2284653
2024-01-28,노트북,부산,3,5366265
2024-01-28,스마트폰,부산,4,3306084
2024-01-28,이어폰,부산,3,314985
2024-01-28,태블릿,부산,4,3294636
2024-01-28,노트북,서울,3,5685417
2024-01-28,스마트폰,서울,1,559900
2024-01-28,이어폰,서울,1,315379
2024-01-28,태블릿,서울,2,1822334
2024-01-28,노트북,인천,2,2433304
2024-01-28,스마트폰,인천,5,6261360
2024-01-28,이어폰,인천,3,831711
2024-01-28,태블릿,인천,5,4045405
2024-01-29,노트북,광주,1,1572502
2024-01-29,스마트폰,광주,3,3619611
2024-01-29,이어폰,광주,5,1394105
2024-01-29,태블릿,광주,3,983823
2024-01-29,노트북,대구,5,8208845
2024-01-29,스마트폰,대구,5,2711050
2024-01-29,이어폰,대구,5,1347965
2024-01-29,태블릿,대구,3,2390268
2024-01-29,노트북,부산,5,11134495
2024-01-29,스마트폰,부산,5,3122910
2024-01-29,이어폰,부산,5,1108415
2024-01-29,태블릿,부산,3,1966668
2024-01-29,노트북,서울,4,6269704
2024-01-29,스마트폰,서울,1,920040
2024-01-29,이어폰,서울,4,1177500
2024-01-29,태블릿,서울,3,2640288
2024-01-29,태블릿,서울,3,1131309
2024-01-29,노트북,인천,2,2975588
2024-01-29,스마트폰,인천,5,4170010
2024-01-29,스마트폰,인천,2,1824084
2024-01-29,이어폰,인천,5,1434100
2024-01-29,태블릿,인천,3,1958139
2024-01-29,태블릿,인천,5,4172365
2024-01-30,노트북,광주,4,5859528
2024-01-30,스마트폰,광주,4,3462984
2024-01-30,이어폰,광주,1,229069
2024-01-30,태블릿,광주,3,1805307
2024-01-30,노트북,대구,4,7608020
2024-01-30,스마트폰,대구,4,3315972
2024-01-30,이어폰,대구,5,1078740
2024-01-30,태블릿,대구,5,3294775
2024-01-30,노트북,부산,1,1200103
2024-01-30,노트북,부산,1,1724924
2024-01-30,노트북,부산,3,5034735
2024-01-30,스마트폰,부산,2,1866040
2024-01-30,이어폰,부산,1,102394
2024-01-30,태블릿,부산,5,3972570
2024-01-30,노트북,서울,5,10056935
2024-01-30,스마트폰,서울,2,2512884
2024-01-30,스마트폰,서울,1,1111868
2024-01-30,이어폰,서울,2,313960
2024-01-30,태블릿,서울,5,3493290
2024-01-30,노트북,인천,3,6238269
2024-01-30,스마트폰,인천,4,2806412
2024-01-30,이어폰,인천,3,544563
2024-01-30,태블릿,인천,3,1607370
2024-01-31,노트북,광주,4,9809892
2024-01-31,스마트폰,광주,4,2781444
2024-01-31,이어폰,광주,5,431280
2024-01-31,태블릿,광주,3,1017858
2024-01-31,태블릿,광주,1,612886
2024-01-31,노트북,대구,2,1621732
2024-01-31,스마트폰,대구,5,7371155
2024-01-31,이어폰,대구,2,361198
2024-01-31,태블릿,대구,4,3202564
2024-01-31,노트북,부산,2,2058128
2024-01-31,노트북,부산,5,11768800
2024-01-31,스마트폰,부산,5,3754525
2024-01-31,이어폰,부산,2,115040
2024-01-31,이어폰,부산,1,246688
2024-01-31,태블릿,부산,5,2683165
2024-01-31,노트북,서울,3,7263699
2024-01-31,스마트폰,서울,2,1609122
2024-01-31,이어폰,서울,2,344302
